Name	Party	University	Subject area	Phrase	Occupation
Baroness Adams of Craigielea	Labour	No university found			No occupation found
Baroness Afshar	Crossbench	University of York	Other	Jane Eyre and began to realise her privilege and how dependent on others she was	Academic
Baroness Amos	Labour	University of Birmingham	Social studies	Sociology at the University of Warwick , an Honorary Professorship at Thames Valley University in , honorary degrees of Doctor of Laws from the University of Warwick in 	No occupation found
Baroness Andrews	Labour	No university found	Other	an OBE in 	No occupation found
Baroness Anelay of St Johns	Conservative	University of Bristol	Other	with the degree of BA and after further studies at Brunel, took the postgraduate degree of MA	No occupation found
Baroness Armstrong of Hill Top	Labour	No university found		No phrase found	Politician, life peer, published author
Baroness Ashton of Upholland	Labour	Bedford College	Social studies	with a bachelor of science degree in Sociology in , to a Briton, , an honorary degree from the University of East London in 	No occupation found
Baroness Bakewell	Labour	Magdalen College, Oxford		No phrase found	No occupation found
Baroness Bakewell of Hardington Mandeville	Liberal Democrat	Magdalen College, Oxford		No phrase found	No occupation found
Baroness Barker	Liberal Democrat	No university found			Politician
Baroness Benjamin	Liberal Democrat	No university found		No phrase found	Advertising and public relations executive
Baroness Berridge	Conservative	Emmanuel College, Cambridge	Law	Law at Emmanuel College, Cambridge, and undertook barrister	Member of the House of Lords
Baroness Billingham	Labour	No university found			No occupation found
Baroness Blackstone	Labour	No university found	Medicine & dentistry	doctorate	No occupation found
Baroness Blood	Labour	No university found	Other	an honorary degree from the University of Ulster and was awarded a life peerage as Baroness Blood, of Blackwatertown in the County of Armagh in 	No occupation found
Baroness Bonham-Carter of Yarnbury	Liberal Democrat	No university found			No occupation found
Baroness Boothroyd	Crossbench	No university found	Other	at Dewsbury College of Commerce and Art, an Honorary Degree from the Open University as Doctor of the University	No occupation found
Baroness Bottomley of Nettlestone	Conservative	University of Essex	Social studies	from the London School of Economics with the degree of Master of Arts 	No occupation found
Baroness Brady	Conservative	No university found	Business & administrative studies	an honorary doctorate in business from the University of Birmingham in December , Britain, the prestigious fcbusiness Magazine CEO of the Year Award at the Football Business Awards, CBE in the , CBE by Prince William at Buckingham Palace , honorary degree from University of Birmingham	Businesswoman, journalist, politician, broadcaster, media personality, author, novelist
Baroness Brinton	Liberal Democrat	No university found		No phrase found	Historian
Baroness Browning	Conservative	No university found		No phrase found	Judge
Baroness Buscombe	Conservative	No university found			No occupation found
Baroness Butler-Sloss	Crossbench	No university found	Law	an Honorary Doctor of Laws from the University of Bath, and in June , an honorary degree from the Open University as Doctor of the University	No occupation found
